algorithm,input_type,n,trial,time_ms,mem_kb
selectionsort,reverse,1000,7,2.0485,0
bubblesort,reverse,1000,7,7.8843,0
mergesort,reverse,1000,8,0.1582,0
quicksort,reverse,1000,8,0.2255,0
insertionsort,reverse,1000,8,4.9522,0
selectionsort,reverse,1000,8,2.0679,0
bubblesort,reverse,1000,8,9.1466,0
mergesort,reverse,1000,9,0.1582,0
quicksort,reverse,1000,9,0.2404,0
insertionsort,reverse,1000,9,4.6164,0
selectionsort,reverse,1000,9,2.0505,0
bubblesort,reverse,1000,9,8.2299,0
mergesort,reverse,1000,10,0.1608,0
quicksort,reverse,1000,10,0.2366,0
insertionsort,reverse,1000,10,4.9594,0
selectionsort,reverse,1000,10,2.1893,0
bubblesort,reverse,1000,10,8.6991,0
mergesort,random,5000,1,1.4179,20
quicksort,random,5000,1,1.4556,0
insertionsort,random,5000,1,68.0405,0
selectionsort,random,5000,1,101.664,0
bubblesort,random,5000,1,196.357,0
mergesort,random,5000,2,1.4254,0
quicksort,random,5000,2,1.4355,0
insertionsort,random,5000,2,76.0382,0
selectionsort,random,5000,2,82.2735,0
bubblesort,random,5000,2,184.854,0
mergesort,random,5000,3,1.5922,0
quicksort,random,5000,3,1.8884,0
insertionsort,random,5000,3,67.8247,0
selectionsort,random,5000,3,69.5707,0
bubblesort,random,5000,3,178.272,0
mergesort,random,5000,4,1.4229,0
quicksort,random,5000,4,1.4161,0
insertionsort,random,5000,4,70.5619,0
selectionsort,random,5000,4,56.1533,0
bubblesort,random,5000,4,190.915,0
mergesort,random,5000,5,1.4065,0
quicksort,random,5000,5,1.4471,0
insertionsort,random,5000,5,100.285,0
selectionsort,random,5000,5,57.7262,0
bubblesort,random,5000,5,169.881,0
mergesort,random,5000,6,1.8297,0
quicksort,random,5000,6,1.6872,0
insertionsort,random,5000,6,61.3442,0
selectionsort,random,5000,6,99.2493,0
bubblesort,random,5000,6,198.105,0
mergesort,random,5000,7,3.1654,0
quicksort,random,5000,7,1.8687,0
insertionsort,random,5000,7,66.8057,0
selectionsort,random,5000,7,77.1142,0
bubblesort,random,5000,7,203.939,0
mergesort,random,5000,8,1.3579,0
quicksort,random,5000,8,1.457,0
insertionsort,random,5000,8,65.165,0
selectionsort,random,5000,8,59.2034,0
